,study,notation,from_slug,to_slug,difflib,a,b,ab,nmi,cd,ncd
4358,movies,vega-lite,scatter_ols_separate,line_colored,58,320,284,380,156,96,300
4359,movies,vega-lite,scatter_ols_separate,area_colored_stacked,62,320,300,396,172,96,300
4360,movies,vega-lite,scatter_ols_separate,stripes,66,320,264,384,184,120,375
4361,movies,vega-lite,scatter_ols_separate,bar_budget_avg,71,320,236,364,172,128,400
4362,movies,vega-lite,scatter_ols_separate,box_colored,61,320,264,368,152,104,325
4363,movies,vega-lite,scatter_ols_separate,dotplot_avg,78,320,240,364,168,124,387
4364,movies,vega-lite,scatter_ols_separate,bubble_agg,70,320,280,368,136,88,275
4365,movies,vega-lite,scatter_ols_separate,bar_count_horizontal,79,320,220,364,188,144,450
4366,movies,vega-lite,scatter_ols_separate,scatter,60,320,232,332,112,100,312
4367,movies,vega-lite,scatter_ols_separate,bubble,58,320,268,348,108,80,250
4368,movies,vega-lite,scatter_ols_separate,histogram_mean,70,320,236,360,164,124,387
4369,movies,vega-lite,scatter_ols_separate,scatter_colored_symbol,58,320,272,352,112,80,250
4370,movies,vega-lite,scatter_ols_separate,bar_count_single,78,320,224,352,160,128,400
4371,movies,vega-lite,scatter_ols_separate,scatter_colored_continuous,50,320,252,340,108,88,275
4372,movies,vega-lite,scatter_ols_separate,scatter_colored,48,320,256,332,88,76,237
4373,movies,vega-lite,scatter_ols_separate,box_faceted,74,320,268,372,156,104,325
4374,movies,vega-lite,scatter_ols_separate,pie_count,78,320,228,356,164,128,400
4375,movies,vega-lite,scatter_ols_separate,error_bar,55,320,276,372,148,96,300
4376,movies,vega-lite,scatter_ols_separate,bar_count_ordered,69,320,220,368,196,148,462
4377,movies,vega-lite,scatter_ols_separate,bar_time,70,320,260,384,188,124,387
4378,movies,vega-lite,scatter_ols_separate,histogram_colored,62,320,252,364,156,112,350
4379,movies,vega-lite,scatter_ols_separate,box,84,320,236,356,156,120,375
4380,movies,vega-lite,scatter_ols_separate,ols_separate,76,320,316,332,28,16,50
4381,movies,vega-lite,scatter_ols_separate,bar_budget_avg_colored,69,320,264,376,168,112,350
4382,movies,vega-lite,scatter_ols_separate,bar_count_colored,56,320,240,364,168,124,387
4383,movies,vega-lite,scatter_ols_separate,histogram_line,74,320,224,356,168,132,412
4384,movies,vega-lite,scatter_ols_separate,bar_budget,71,320,236,364,172,128,400
4385,movies,vega-lite,scatter_ols_separate,scatter_connected,71,320,296,396,176,100,312
4386,movies,vega-lite,scatter_ols_separate,heatmap_count,70,320,240,364,168,124,387
4387,movies,vega-lite,scatter_ols_separate,heatmap_budget_avg,74,320,256,368,160,112,350
4388,movies,vega-lite,scatter_ols_separate,scatter_ols_global,6,320,308,328,28,20,62
4389,movies,vega-lite,scatter_ols_separate,bar_count,71,320,208,360,192,152,475
4390,movies,vega-lite,scatter_ols_separate,slope,54,320,264,360,136,96,300
4391,movies,vega-lite,scatter_ols_separate,line,70,320,260,380,180,120,375
4392,movies,vega-lite,scatter_ols_separate,dotplot,72,320,212,360,188,148,462
4393,movies,vega-lite,scatter_ols_separate,area_colored,58,320,284,384,164,100,312
4394,movies,vega-lite,scatter_ols_separate,histogram,74,320,220,360,180,140,437
4395,movies,vega-lite,scatter_ols_separate,bar_count_100,54,320,252,376,180,124,387
4396,movies,vega-lite,scatter_ols_separate,histogram_faceted,76,320,276,388,180,112,350
4397,movies,vega-lite,line_colored,scatter_ols_separate,58,284,320,384,164,100,312
4398,movies,vega-lite,line_colored,area_colored_stacked,5,284,300,308,32,24,80
4399,movies,vega-lite,line_colored,stripes,14,284,264,304,60,40,140
4400,movies,vega-lite,line_colored,bar_budget_avg,32,284,236,332,144,96,338
4401,movies,vega-lite,line_colored,box_colored,24,284,264,336,124,72,253
4402,movies,vega-lite,line_colored,dotplot_avg,40,284,240,332,140,92,323
4403,movies,vega-lite,line_colored,bubble_agg,29,284,280,340,116,60,211
4404,movies,vega-lite,line_colored,bar_count_horizontal,42,284,220,320,136,100,352
4405,movies,vega-lite,line_colored,scatter,23,284,232,320,124,88,309
4406,movies,vega-lite,line_colored,bubble,23,284,268,332,112,64,225
4407,movies,vega-lite,line_colored,histogram_mean,31,284,236,324,128,88,309
4408,movies,vega-lite,line_colored,scatter_colored_symbol,23,284,272,336,116,64,225
4409,movies,vega-lite,line_colored,bar_count_single,41,284,224,308,108,84,295
4410,movies,vega-lite,line_colored,scatter_colored_continuous,13,284,252,328,120,76,267
4411,movies,vega-lite,line_colored,scatter_colored,11,284,256,316,92,60,211
4412,movies,vega-lite,line_colored,box_faceted,50,284,268,344,136,76,267
4413,movies,vega-lite,line_colored,pie_count,41,284,228,308,104,80,281
4414,movies,vega-lite,line_colored,error_bar,59,284,276,376,192,100,352
4415,movies,vega-lite,line_colored,bar_count_ordered,29,284,220,320,136,100,352
4416,movies,vega-lite,line_colored,bar_time,13,284,260,296,48,36,126
4417,movies,vega-lite,line_colored,histogram_colored,23,284,252,328,120,76,267
4418,movies,vega-lite,line_colored,box,24,284,236,328,136,92,323
4419,movies,vega-lite,line_colored,ols_separate,38,284,316,368,136,84,265
4420,movies,vega-lite,line_colored,bar_budget_avg_colored,32,284,264,344,140,80,281
4421,movies,vega-lite,line_colored,bar_count_colored,16,284,240,316,108,76,267
4422,movies,vega-lite,line_colored,histogram_line,34,284,224,320,132,96,338
4423,movies,vega-lite,line_colored,bar_budget,24,284,236,328,136,92,323
4424,movies,vega-lite,line_colored,scatter_connected,25,284,296,332,84,48,162
